TimeStamp,GroundSteering,Oracle,Good,Elapsed
1584543061542620,0.122159,-0,0,18196554
1584543061643232,0.132446,-0,0,18297166
1584543061748031,0.106618,-0,0,18401965
1584543061845674,0.0964956,0.044991,0,18499608
1584543061942959,0.133871,0.0479916,0,18596893
1584543062042785,0.160575,0.0479916,0,18696719
1584543062142578,0.123951,0.0479916,0,18796512
1584543062244393,0.0404951,0.0479916,1,18898327
1584543062342647,0.0112138,0.0479916,0,18996581
1584543062442655,0.014323,0.0479916,0,19096589
1584543062542455,0.0598419,0.0479916,1,19196389
1584543062643656,0.0743857,0.0479916,0,19297590
1584543062744510,0.0768347,0.0479916,0,19398444
1584543062842528,0.0667992,0.0479916,0,19496462
1584543062942788,0.0636674,0.0479916,0,19596722
1584543063042337,0.0954424,0.0479916,0,19696271
1584543063142311,0.0975871,0.0479916,0,19796245
1584543063244228,0.094113,0.0479916,0,19898162
1584543063342280,0.0613624,0.0479916,0,19996214
1584543063444966,0.0860142,0.0539839,0,20098900
1584543063542609,0.0914463,0.125962,0,20196543
1584543063643572,0.110821,0.164943,0,20297506
1584543063743820,0.0871788,0.164943,0,20397754
1584543063842315,0.114917,0.140956,1,20496249
1584543063942374,0.148041,0.107968,0,20596308
1584543064042123,0.172285,0.110968,0,20696057
1584543064142373,0.149531,0.0120023,0,20796307
1584543064247872,0.120343,0.0120023,0,20901806
1584543064342824,0.0958564,0.0239958,0,20996758
1584543064442641,0.0952716,0.0959743,1,21096575
1584543064542041,0.087365,0.164943,0,21195975
1584543064642726,0.101715,0.188939,0,21296660
1584543064744520,0.104151,0.221928,0,21398454
1584543064842173,0.0925167,0.125962,0,21496107
1584543064941966,0.0911255,0.0509833,0,21595900
1584543065044750,0.0876344,0.0329887,0,21698684
1584543065142077,0.0863813,0.143957,0,21796011
1584543065244031,0.0720691,0.140956,0,21897965
1584543065341988,0.0610777,0.137956,0,21995922
1584543065441871,0.0586867,-0,0,22095805
1584543065542189,0.055083,-0,0,22196123
1584543065642679,0.021469,-0,0,22296613
1584543065743877,-0.0177926,-0,0,22397811
1584543065844985,-0.0537861,-0,0,22498919
1584543065941846,-0.0566814,-0,0,22595780
1584543066041926,-0.0827379,-0.0629768,0,22695860
1584543066141695,-0.0443274,-0,0,22795629
1584543066244068,-0.0438845,-0,0,22898002
1584543066341602,-0.0242064,-0,0,22995536
1584543066441804,-0.0617294,-0,0,23095738
1584543066541865,-0.0610146,-0,0,23195799
1584543066642211,-0.0762436,-0,0,23296145
1584543066743639,-0.0417693,-0,0,23397573
1584543066842542,-0.00578646,-0,0,23496476
1584543066941501,0.0598757,-0,0,23595435
1584543067041447,0.0694649,-0,0,23695381
1584543067141721,0.0688188,-0,0,23795655
1584543067244400,0.0611553,-0,0,23898334
1584543067341495,0.054294,-0,0,23995429
1584543067441557,0.0506987,-0,0,24095491
1584543067541389,0.0520414,-0,0,24195323
1584543067641983,0.0527299,0.281904,0,24295917
1584543067743553,0.0568753,0.149949,0,24397487
1584543067841330,0.0558218,-0,0,24495264
1584543067941331,0.0552479,-0,0,24595265
1584543068041621,0.0191325,-0,0,24695555
1584543068141309,0.0359722,-0,0,24795243
1584543068243355,0.0564041,-0,0,24897289
1584543068341397,0.111236,-0,0,24995331
1584543068441241,0.122473,-0,0,25095175
1584543068541204,0.149757,-0.122953,0,25195138
1584543068641996,0.184771,-0,0,25295930
1584543068743252,0.182076,-0,0,25397186
1584543068841240,0.136072,-0,0,25495174
1584543068941299,0.104463,-0,0,25595233
1584543069041168,0.0397281,-0,0,25695102
1584543069141141,-0.00110719,-0,0,25795075
1584543069243343,-0.0589664,-0,0,25897277
1584543069341081,-0.0105471,-0,0,25995015
1584543069441086,0.0353643,-0,0,26095020
1584543069541261,0.030163,-0,0,26195195
1584543069641687,-0.014206,-0,0,26295621
1584543069743007,-0.0787355,-0,0,26396941
1584543069841361,-0.0737792,-0,0,26495295
1584543069940919,-0.0393905,-0,0,26594853
1584543070040889,0.0524559,-0,0,26694823
1584543070141235,0.0910733,0.140956,0,26795169
1584543070243170,0.0956741,0.200933,0,26897104
1584543070341315,0.0637268,-0,0,26995249
1584543070441522,0.0602604,-0,0,27095456
1584543070540872,0.0560847,-0,0,27194806
1584543070642017,0.0591377,-0,0,27295951
1584543070743346,0.0248934,-0,0,27397280
1584543070840901,0.0254549,-0,0,27494835
1584543070940860,0.0286132,-0,0,27594794
1584543071041117,0.0750675,-0,0,27695051
1584543071140805,0.0177372,-0,0,27794739
1584543071242778,0.0195142,0.290888,0,27896712
1584543071340893,0.0157661,0.290888,0,27994827
1584543071440638,0.0984034,0.290888,0,28094572
1584543071540657,0.0869689,0.245915,0,28194591
1584543071641676,0.109753,-0,0,28295610
1584543071742619,0.0445163,-0,0,28396553
1584543071840614,-0.000345861,-0,0,28494548
1584543071940898,-0.0316607,0.269911,0,28594832
1584543072040513,-0.0297463,0.290888,0,28694447
1584543072140745,0.0315331,0.212926,0,28794679
1584543072242667,-0.00961249,-0,0,28896601
1584543072340521,0.0645138,-0,0,28994455
1584543072440555,0.0538946,-0,0,29094489
1584543072540746,0.114276,-0,0,29194680
1584543072641201,0.107122,0.290888,0,29295135
1584543072742570,0.137069,0.290888,0,29396504
1584543072840530,0.139962,0.26691,0,29494464
1584543072940703,0.13016,-0,0,29594637
1584543073044949,0.134412,-0,0,29698883
1584543073140804,0.117474,0.290888,0,29794738
1584543073242205,0.102536,0.248915,0,29896139
1584543073340375,-0.0383659,0.203933,0,29994309
1584543073440901,0.0116406,-0,0,30094835
1584543073540495,0.0542422,-0,0,30194429
1584543073641089,0.204699,-0,0,30295023
1584543073742365,0.199822,-0,0,30396299
1584543073843377,0.207908,-0,0,30497311
1584543073940148,0.180442,0.0239958,0,30594082
1584543074040309,0.0919909,0.0929737,1,30694243
1584543074140113,0.0619353,-0,0,30794047
1584543074242066,0.0601487,-0,0,30896000
1584543074340502,0.117357,-0,0,30994436
1584543074440061,0.134178,-0,0,31093995
1584543074540018,0.112303,-0,0,31193952
1584543074644448,0.0942025,-0,0,31298382
1584543074741935,0.052431,-0,0,31395869
1584543074839962,0.0537651,-0,0,31493896
1584543074940135,0.0205139,-0,0,31594069
1584543075039928,-0.0128106,-0,0,31693862
1584543075139910,-0.0459207,-0,0,31793844
1584543075242102,-0.0146221,-0,0,31896036
1584543075339870,0.018546,-0,0,31993804
1584543075439836,0.052077,-0,0,32093770
1584543075540012,0.0544622,-0,0,32193946
1584543075640474,0.0548741,-0,0,32294408
1584543075741673,0.0549343,0.0329887,0,32395607
1584543075840024,0.0549592,0.0779797,0,32493958
1584543075939773,0.0737491,0.083972,1,32593707
1584543076039998,0.0373605,0.083972,0,32693932
1584543076142731,0.0472495,0.083972,0,32796665
1584543076241903,0.0362986,0.0749791,0,32895837
1584543076339695,0.0782679,0.0749791,1,32993629
1584543076439814,0.0978834,0.0749791,0,33093748
1584543076539684,0.0920285,0.0749791,1,33193618
1584543076640541,0.125916,0.0749791,0,33294475
1584543076741993,0.122229,0.0749791,0,33395927
1584543076839778,0.120732,0.0749791,0,33493712
1584543076942156,0.110136,0.0749791,0,33596090
1584543077040420,0.0991075,0.0779797,0,33694354
1584543077139853,0.123441,0.11396,1,33793787
1584543077241608,0.103882,0.11396,1,33895542
1584543077339989,0.0936348,0.11396,1,33993923
1584543077439472,0.0913515,0.110968,1,34093406
1584543077539452,0.124193,0.110968,1,34193386
1584543077640328,0.142738,0.083972,0,34294262
1584543077741874,0.18391,0.0869726,0,34395808
1584543077839599,0.180621,0.0869726,0,34493533
1584543077939811,0.197107,0.0869726,0,34593745
1584543078039708,0.175403,0.0869726,0,34693642
1584543078139316,0.153581,0.0869726,0,34793250
1584543078241788,0.120098,0.0869726,0,34895722
1584543078339468,0.0909609,0.083972,1,34993402
1584543078440371,0.0798962,0.0629856,0,35094305
1584543078539427,0.0748766,0.0569845,0,35193361
1584543078639988,0.0624606,-0,0,35293922
1584543078741496,-0.0256715,-0,0,35395430
1584543078839588,-0.0581058,-0.0329798,0,35493522
1584543078939193,-0.138716,-0.143948,1,35593127
1584543079039175,-0.0937294,-0,0,35693109
1584543079142309,-0.163282,-0,0,35796243
1584543079241668,-0.116313,-0,0,35895602
1584543079339379,-0.111628,-0,0,35993313
1584543079439392,-0.0846515,-0,0,36093326
1584543079539298,-0.0956187,-0.0269875,0,36193232
1584543079639819,-0.100929,-0.0299881,0,36293753
1584543079741593,-0.0785473,-0.0509744,0,36395527
1584543079839032,-0.0847334,-0.0749702,1,36492966
1584543079939092,-0.132544,-0.0779708,0,36593026
1584543080039315,-0.130082,-0.0779708,0,36693249
1584543080138939,-0.155069,-0.0899643,0,36792873
1584543080241197,-0.115528,-0.0959654,1,36895131
1584543080339235,-0.118519,-0.0959654,1,36993169
1584543080438859,-0.0833192,-0.0959654,1,37092793
1584543080538833,-0.110318,-0.0809625,0,37192767
1584543080639627,-0.128566,-0.0269875,0,37293561
1584543080741215,-0.125311,-0,0,37395149
1584543080838897,-0.08296,-0,0,37492831
1584543080939216,-0.0619635,-0,0,37593150
1584543081038700,-0.0729731,-0,0,37692634
1584543081138686,-0.0770316,-0,0,37792620
1584543081241220,-0.0650009,-0,0,37895154
